Willow's Reef Aquatics,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarium Plants,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE FOR ORDERS:,,,,,,,,,,,,,,,,,,,,,,,,,
*Bulk pricing applies to quantities of 12 or more units,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Last Updated: 11/7/2016,,,,,,,,,,,,,,,,,,,,,,
PRODUCT NUMBER,DESCRIPTION,NAME,RETAIL PRICE/UNIT,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,PAUL KLOECKER-LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RADICAN - MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RADICAN - LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RED FLAME - MD,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RED FLAME - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RED MELON - MD,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RED MELON - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,RED RUBIN- MD,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,ROSE - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,ST. ELMO'S FIRE,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. LUTEA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. PARVA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. SPIRALUS,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. UNDULATA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. WENDTII BRONZE,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. WENDTII GREEN,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,CRYPT POTTED,CR. WENDTII RED,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,ARROWHEAD RED,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,ARROWHEAD WHITE,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,BABY TEARS - DWF,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,CARDINAL,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,CHAIN SWORD N.L.,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,GLOSSOSTIGMA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,HAIRGRASS - DWF,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,HAIRGRASS - GIANT,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,HEDGE - GREEN,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,HYGROPHILA COMPACTA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,MICRO SWORD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,MONTE CARLO,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,MONEYWORT,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,PENNYWORT,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,POGOSTEMON ERECTUS,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,SAGITTARIA - DWF,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,TELANTHERA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,WATER SPRITE,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,miscellanous potted plants,WISTERIA,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,AMAZON,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,ORIENTAL SWORD,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,OZELOT SWORD,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,OZELOT GREEN,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,AN. BARTERI,$27.46 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,AN. HASTIFOLIA,$27.46 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,AN. NANJI,$27.46 ,,,,,,,,,,,,,,,,,,,,,,
,Mother Potted Plants,AN. NANCON,$27.46 ,,,,,,,,,,,,,,,,,,,,,,
,IRIS LOUISIANA:,Papyrus Dwarf,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,IRIS LOUISIANA:,Society Garlic,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,IRIS LOUISIANA:,Spider Lily-white,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,IRIS LOUISIANA:,Spider Lily Variegated,$8.27 ,,,,,,,,,,,,,,,,,,,,,,
,IRIS LOUISIANA:,Taro Black Magic,$8.27 ,,,,,,,,,,,,,,,,,,,,,,
,IRIS LOUISIANA:,Taro Imperial,$8.27 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Aquatic Mint Small Leaf,$2.35 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Aquatic Mint Large Leaf,$2.35 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Azolla Portion,$2.75 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Azolla Portion XL,$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Duckweed Portion,$2.75 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Duckweed Portion XL,$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Frogbit,$3.58 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Ludwigia Sediodes,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Parrot's Feather,$2.35 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Salvinia Portion,$2.75 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Salvinia Poriton XL,$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Sensitive Plant,$4.27 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Sensitive Plant Lg Leaf,$4.27 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Snowflake Variegated,$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Snowflake White LG,$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Snowflake Yellow,$6.35 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Water Hawthorne Bulb,$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Water Hyacinth-Florida,$4.14 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Water Hyacinth-Dwarf,$4.14 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Water Lettuce,$2.48 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,"Water Lettuc, Rost",$2.48 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,"Water Lettuce, Var",$3.04 ,,,,,,,,,,,,,,,,,,,,,,
,SURFACE VARIETIES,Water Snowball,$2.35 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,MANZANITA - LG,$91.60 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,BABY TEARS DWF,$11.94 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,AN. NANA,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,AN. NANJI,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,JAVA MOSS,$18.84 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,DRIFTWOOD CASE - SM,$111.94 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,DRIFTWOOD CASE - MD,$91.26 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,SPIDER DRIFTWOOD - SM,$136.08 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,SPIDER DRIFTWOOD - MD,$194.70 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,SPIDER DRIFTWOOD - LG,$125.74 ,,,,,,,,,,,,,,,,,,,,,,
,PLANTS ON DRIFTWOOD,SPIDER DRIFTWOOD-XL-EA.,$49.88 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Blue Bell, Compacta Pink",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Blue Bell, Compacta White",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Bog Lily,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Bog Lily Red,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Canna, Austraila",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Canna, Endeavor - Red",$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Canna Erebus - Pink,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Canna KG Hum - Orange,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Papyrus, Dwarf",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED","Papyrus, Dwarf Giant",$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,"2"" POTTED",Peace Lily,$5.52 ,,,,,,,,,,,,,,,,,,,,,,
